,R_x,f_1,f_2,Generation,Rank
0,69-29-19-36-45-58-51-56-8-52-20-13-22-38-3-48-66-54-5-67-27-12-25-34-35-6-63-21-30-15*14-61-43-13-22-45-41-25-4-7-40-47-6-56-8-26-1-31-11-9-17-50-2-0-69-18-5-65-37-32*14-61-17-50-0-3-66-19-18-67-5-54-36-22-33-20-10-28-8-26-30-21-63*31-11-68-9-16-55-52-64-58-34-51-56-28-10-17-44-60-61-43-33-22-38-54-5-37-67-27-25-4-7*13-43-17-59-9-31-1-49-15-62-24-30-26-16-10-20-33-22-19-18-39-32-5-67-27-41-58-64-35-6*61-60-44-14-2-23-3-48-39-18-54-36-45-34-35-6-21-24-42-62-26-1-16-10-52-64-58-33-50-0*31-11-9-17-50-23-29-48-39-32-65-37-67-27-41-35-51-8-26-49-15-42*47-6-35-58-33-13-43-61-44-60-17-20-52-64-51-57-25-4-7-46-40-12-27-67-37-65-54-36-41-34*21-24-62-49-11-9-68-1-26-30-63-6-47-53-4-25-41-36-38-69-23-50-33-58-57-34-45-22-19-66*32-18-38-36-41-57-35-6-47-53-46-40-7-4-25-34-58-33-50-2-14-44-17-59-1-49-42-62-30*31-11-9-16-10-8-51-57-25-12-4-53-46-40-7-47-6-21-24-30-26-1-59-17-50-23-69-48-39-32*14-44-61-17-55-8-56-6-47-53-46-40-12-41-36-19-3-48-39-18-38-22-13-50-0-23-29*28-8-52-64-58-45-36-54-66-69-23-50-43-20-55-16-26-49-15-30-63-6-56-51-41-27-67-37*12-25-27-67-18-69-29-3-66-38-36-45-34-35-6-63-24-62-42-15-11-68-9-17-20-33-22-19-65-37*4-25-27-12-41-58-64-52-55-10-59-17-43-13-22-19-54-32-39-48-66-38-36-45-34-51-8-28*,21.9443455146742,1851.0,1997,0.0
0,14-44-60-61-43-33-58-41-12-25-57-35-51-8-26-1-31-11-15-42-62-21*48-66-19-65-37-5-18-69-0-2-14-44-60-17-10-16-26-30-24-21-6-56-8-55-20-43-50-23-3-29*62-42-15-49-1-59-17-61-14-2-50-13-22-45-41-25-4-53-46-40-12-27-67-37-65-32-39-48-3-0*46-40-47-6-56-28-8-26-1-31-11-9-17-50-23-29-48-39-32-18-5-54-36-41-34-58-33-22-38-69*14-44-17-55-8-56-6-47-7-46-40-4-25-41-36-19-69-23-0-2-50-33-58-35-51-57-34-45-22-13*31-11-59-17-43-13-20-55-10-28-56-6-63-30-15-49-26-8-51-34-45-36-54-18-39-48-29*47-53-4-12-41-36-38-66-3-0-2-50-17-59-1-49-42-62-30-26-16-10-20-33-22-19-18-67-27*10-28-56-51-41-27-67-65-37-5-54-38-22-33-20-17-59-68-9-11-31-1-26-30-63-6-47-53-7-46*49-11-1-26-62-24-63-6-35-34-45-36-38-66-48-29-69-0-50-17-10-28-56-8*46-40-7-4-25-34-58-64-52-8-56-6-35-41-27-67-5-37-65-54-19-38-22-13-43-61-60-44-14*32-39-48-29-69-23-50-43-20-55-16-26-49-15-42-24-63-6-47-7-4-12-25-57-51-64-52-10-59-9*31-11-68-9-16-26-8-51-41-27-67-37-65-18-54-66-3-29-19-36-22-33-50-23*2-14-60-61-17-20-52-64-51-35-57-41-36-38-3-0-50-23-69-66-54-5-67-27-25-4-7-40-46*42-49-9-68-11-15-62-24-21-6-35-34-45-36-54-32-39-48-69-38-22-33-13*13-50-23-69-18-37-65-5-54-36-45-58-64-52-55-16-1-11-68-9-59-10-28-56-6-47-53-40-46*,21.944875062948757,1753.0,1815,0.0
1,44-60-61-43-33-58-41-12-25-57-35-51-8-26-1-31-11-15-42-62-21*48-66-19-65-37-5-18-69-0-2-14-44-60-17-10-16-26-30-24-21-6-56-8-55-20-43-50-23-3-29*62-42-15-49-1-59-17-61-14-2-50-13-22-45-41-25-4-53-46-40-12-27-67-37-65-32-39-48-3-0*46-40-47-6-56-28-8-26-1-31-11-9-17-50-23-29-48-39-32-18-5-54-36-41-34-58-33-22-38-69*14-44-17-55-8-56-6-47-7-46-40-4-25-41-36-19-69-23-0-2-50-33-58-35-51-57-34-45-22-13*31-11-59-17-43-13-20-55-10-28-56-6-63-30-15-49-26-8-51-34-45-36-54-18-39-48-29*47-53-4-12-41-36-38-66-3-0-2-50-17-59-1-49-42-62-30-26-16-10-20-33-22-19-18-67-27*10-28-56-51-41-27-67-65-37-5-54-38-22-33-20-17-59-68-9-11-31-1-26-30-63-6-47-53-7-46*49-11-1-26-62-24-63-6-35-34-45-36-38-66-48-29-69-0-50-17-10-28-56*46-40-7-4-25-34-58-64-52-8-56-6-35-41-27-67-5-37-65-54-19-38-22-13-43-61-60-44*32-39-48-29-69-23-50-43-20-55-16-26-49-15-42-24-63-6-47-7-4-12-25-57-51-64-52-10-59-9*31-11-68-9-16-26-8-51-41-27-67-37-65-18-54-66-3-29-19-36-22-33-50-23-2*2-14-60-61-17-20-52-64-51-35-57-41-36-38-3-0-50-23-69-66-54-5-67-27-25-4-7-40-46*42-49-9-68-11-15-62-24-21-6-35-34-45-36-54-32-39-48-69-38-22-33-13*13-50-23-69-18-37-65-5-54-36-45-58-64-52-55-16-1-11-68-9-59-10-28-56-6-47-53-40-46*,21.945046387390523,1746.0,1819,0.0
2,44-60-61-43-33-58-41-12-25-57-35-51-8-26-1-31-11-15-42-62-21*48-66-19-65-37-5-18-69-0-2-14-44-60-17-10-16-26-30-24-21-6-56-8-55-20-43-50-23-3-29*62-42-15-49-1-59-17-61-14-2-50-13-22-45-41-25-4-53-46-40-12-27-67-37-65-32-39-48-3-0*46-40-47-6-56-28-8-26-1-31-11-9-17-50-23-29-48-39-32-18-5-54-36-41-34-58-33-22-38-69*14-44-17-55-8-56-6-47-7-46-40-4-25-41-36-19-69-23-0-2-50-33-58-35-51-57-34-45-22-13*31-11-59-17-43-13-20-55-10-28-56-6-63-30-15-49-26-8-51-34-45-36-54-18-39-48-29*47-53-4-12-41-36-38-66-3-0-2-50-17-59-1-49-42-62-30-26-16-10-20-33-22-19-18-67-27*10-28-56-51-41-27-67-65-37-5-54-38-22-33-20-17-59-68-9-11-31-1-26-30-63-6-47-53-7-46*49-11-1-26-62-24-63-6-35-34-45-36-38-66-48-29-69-0-50-17-10-28-56*46-40-7-4-25-34-58-64-52-8-56-6-35-41-27-67-5-37-65-54-19-38-22-13-43-61-60-44-14*32-39-48-29-69-23-50-43-20-55-16-26-49-15-42-24-63-6-47-7-4-12-25-57-51-64-52-10-59-9*31-11-68-9-16-26-8-51-41-27-67-37-65-18-54-66-3-29-19-36-22-33-50-23*2-14-60-61-17-20-52-64-51-35-57-41-36-38-3-0-50-23-69-66-54-5-67-27-25-4-7-40-46*42-49-9-68-11-15-62-24-21-6-35-34-45-36-54-32-39-48-69-38-22-33-13*13-50-23-69-18-37-65-5-54-36-45-58-64-52-55-16-1-11-68-9-59-10-28-56-6-47-53-40-46*,21.945866668051107,1745.0,1803,0.0
3,44-60-61-43-33-58-41-12-25-57-35-51-8-26-1-31-11-15-42-62-21*48-66-19-65-37-5-18-69-0-2-14-44-60-17-10-16-26-30-24-21-6-56-8-55-20-43-50-23-3-29*62-42-15-49-1-59-17-61-14-2-50-13-22-45-41-25-4-53-46-40-12-27-67-37-65-32-39-48-3-0*46-40-47-6-56-28-8-26-1-31-11-9-17-50-23-29-48-39-32-18-5-54-36-41-34-58-33-22-38-69*14-44-17-55-8-56-6-47-7-46-40-4-25-41-36-19-69-23-0-2-50-33-58-35-51-57-34-45-22-13*31-11-59-17-43-13-20-55-10-28-56-6-63-30-15-49-26-8-51-34-45-36-54-18-39-48-29*47-53-4-12-41-36-38-66-3-0-2-50-17-59-1-49-42-62-30-26-16-10-20-33-22-19-18-67-27*10-28-56-51-41-27-67-65-37-5-54-38-22-33-20-17-59-68-9-11-31-1-26-30-63-6-47-53-7-46*49-11-1-26-62-24-63-6-35-34-45-36-38-66-48-29-69-0-50-17-10-28-56*46-40-7-4-25-34-58-64-52-8-56-6-35-41-27-67-5-37-65-54-19-38-22-13-43-61-60-44-14*32-39-48-29-69-23-50-43-20-55-16-26-49-15-42-24-63-6-47-7-4-12-25-57-51-64-52-10-59-9*11-68-9-16-26-8-51-41-27-67-37-65-18-54-66-3-29-19-36-22-33-50-23*2-14-60-61-17-20-52-64-51-35-57-41-36-38-3-0-50-23-69-66-54-5-67-27-25-4-7-40-46*42-49-9-68-11-15-62-24-21-6-35-34-45-36-54-32-39-48-69-38-22-33-13*13-50-23-69-18-37-65-5-54-36-45-58-64-52-55-16-1-11-68-9-59-10-28-56-6-47-53-40-46*,21.94599645929487,1742.0,1808,0.0
4,44-60-61-43-33-58-41-12-25-57-35-51-8-26-1-31-11-15-42-62-21*48-66-19-65-37-5-18-69-0-2-14-44-60-17-10-16-26-30-24-21-6-56-8-55-20-43-50-23-3-29*62-42-15-49-1-59-17-61-14-2-50-13-22-45-41-25-4-53-46-40-12-27-67-37-65-32-39-48-3-0*46-40-47-6-56-28-8-26-1-31-11-9-17-50-23-29-48-39-32-18-5-54-36-41-34-58-33-22-38-69*14-44-17-55-8-56-6-47-7-46-40-4-25-41-36-19-69-23-0-2-50-33-58-35-51-57-34-45-22-13*31-11-59-17-43-13-20-55-10-28-56-6-63-30-15-49-26-8-51-34-45-36-54-18-39-48-29*47-53-4-12-41-36-38-66-3-0-2-50-17-59-1-49-42-62-30-26-16-10-20-33-22-19-18-67-27*10-28-56-51-41-27-67-65-37-5-54-38-22-33-20-17-59-68-9-11-31-1-26-30-63-6-47-53-7-46*49-11-1-26-62-24-63-6-35-34-45-36-38-66-48-29-69-0-50-17-10-28-56*46-40-7-4-25-34-58-64-52-8-56-6-35-41-27-67-5-37-65-54-19-38-22-13-43-61-60-44*32-39-48-29-69-23-50-43-20-55-16-26-49-15-42-24-63-6-47-7-4-12-25-57-51-64-52-10-59-9*31-11-68-9-16-26-8-51-41-27-67-37-65-18-54-66-3-29-19-36-22-33-50-23*2-14-60-61-17-20-52-64-51-35-57-41-36-38-3-0-50-23-69-66-54-5-67-27-25-4-7-40-46*42-49-9-68-11-15-62-24-21-6-35-34-45-36-54-32-39-48-69-38-22-33-13*13-50-23-69-18-37-65-5-54-36-45-58-64-52-55-16-1-11-68-9-59-10-28-56-6-47-53-40-46*,21.94643255787392,1740.0,1802,0.0
5,44-60-61-43-33-58-41-12-25-57-35-51-8-26-1-31-11-15-42-62-21*48-66-19-65-37-5-18-69-0-2-14-44-60-17-10-16-26-30-24-21-6-56-8-55-20-43-50-23-3-29*62-42-15-49-1-59-17-61-14-2-50-13-22-45-41-25-4-53-46-40-12-27-67-37-65-32-39-48-3-0*46-40-47-6-56-28-8-26-1-31-11-9-17-50-23-29-48-39-32-18-5-54-36-41-34-58-33-22-38-69*14-44-17-55-8-56-6-47-7-46-40-4-25-41-36-19-69-23-0-2-50-33-58-35-51-57-34-45-22-13*31-11-59-17-43-13-20-55-10-28-56-6-63-30-15-49-26-8-51-34-45-36-54-18-39-48*47-53-4-12-41-36-38-66-3-0-2-50-17-59-1-49-42-62-30-26-16-10-20-33-22-19-18-67-27*10-28-56-51-41-27-67-65-37-5-54-38-22-33-20-17-59-68-9-11-31-1-26-30-63-6-47-53-7-46*49-11-1-26-62-24-63-6-35-34-45-36-38-66-48-29-69-0-50-17-10-28-56*46-40-7-4-25-34-58-64-52-8-56-6-35-41-27-67-5-37-65-54-19-38-22-13-43-61-60-44*32-39-48-29-69-23-50-43-20-55-16-26-49-15-42-24-63-6-47-7-4-12-25-57-51-64-52-10-59-9*31-11-68-9-16-26-8-51-41-27-67-37-65-18-54-66-3-29-19-36-22-33-50-23*2-14-60-61-17-20-52-64-51-35-57-41-36-38-3-0-50-23-69-66-54-5-67-27-25-4-7-40-46*42-49-9-68-11-15-62-24-21-6-35-34-45-36-54-32-39-48-69-38-22-33-13*13-50-23-69-18-37-65-5-54-36-45-58-64-52-55-16-1-11-68-9-59-10-28-56-6-47-53-40-46*,21.94667137376244,1737.0,1813,0.0
6,44-60-61-43-33-58-41-12-25-57-35-51-8-26-1-31-11-15-42-62-21*48-66-19-65-37-5-18-69-0-2-14-44-60-17-10-16-26-30-24-21-6-56-8-55-20-43-50-23-3-29*62-42-15-49-1-59-17-61-14-2-50-13-22-45-41-25-4-53-46-40-12-27-67-37-65-32-39-48-3-0*46-40-47-6-56-28-8-26-1-31-11-9-17-50-23-29-48-39-32-18-5-54-36-41-34-58-33-22-38-69*14-44-17-55-8-56-6-47-7-46-40-4-25-41-36-19-69-23-0-2-50-33-58-35-51-57-34-45-22-13*31-11-59-17-43-13-20-55-10-28-56-6-63-30-15-49-26-8-51-34-45-36-54-18-39-48-29*47-53-4-12-41-36-38-66-3-0-2-50-17-59-1-49-42-62-30-26-16-10-20-33-22-19-18-67*10-28-56-51-41-27-67-65-37-5-54-38-22-33-20-17-59-68-9-11-31-1-26-30-63-6-47-53-7-46*49-11-1-26-62-24-63-6-35-34-45-36-38-66-48-29-69-0-50-17-10-28-56*46-40-7-4-25-34-58-64-52-8-56-6-35-41-27-67-5-37-65-54-19-38-22-13-43-61-60-44*32-39-48-29-69-23-50-43-20-55-16-26-49-15-42-24-63-6-47-7-4-12-25-57-51-64-52-10-59-9*31-11-68-9-16-26-8-51-41-27-67-37-65-18-54-66-3-29-19-36-22-33-50-23*2-14-60-61-17-20-52-64-51-35-57-41-36-38-3-0-50-23-69-66-54-5-67-27-25-4-7-40-46*42-49-9-68-11-15-62-24-21-6-35-34-45-36-54-32-39-48-69-38-22-33-13*13-50-23-69-18-37-65-5-54-36-45-58-64-52-55-16-1-11-68-9-59-10-28-56-6-47-53-40-46*,21.94848325952538,1734.0,1796,0.0
7,44-60-61-43-33-58-41-12-25-57-35-51-8-26-1-31-11-15-42-62-21*48-66-19-65-37-5-18-69-0-2-14-44-60-17-10-16-26-30-24-21-6-56-8-55-20-43-50-23-3-29*62-42-15-49-1-59-17-61-14-2-50-13-22-45-41-25-4-53-46-40-12-27-67-37-65-32-39-48-3-0*46-40-47-6-56-28-8-26-1-31-11-9-17-50-23-29-48-39-32-18-5-54-36-41-34-58-33-22-38-69*14-44-17-55-8-56-6-47-7-46-40-4-25-41-36-19-69-23-0-2-50-33-58-35-51-57-34-45-22-13*31-11-59-17-43-13-20-55-10-28-56-6-63-30-15-49-26-8-51-34-45-36-54-18-39-48-29*47-53-4-12-41-36-38-66-3-0-2-50-17-59-1-49-42-62-30-26-16-10-20-33-22-19-18-67*10-28-56-51-41-27-67-65-37-5-54-38-22-33-20-17-59-68-9-11-31-1-26-30-63-6-47-53-7-46*49-11-1-26-62-24-63-6-35-34-45-36-38-66-48-29-69-0-50-17-10-28-56*46-40-7-4-25-34-58-64-52-8-56-6-35-41-27-67-5-37-65-54-19-38-22-13-43-61-60-44*32-39-48-29-69-23-50-43-20-55-16-26-49-15-42-24-63-6-47-7-4-12-25-57-51-64-52-10-59-9*31-11-68-9-16-26-8-51-41-27-67-37-65-18-54-66-3-29-19-36-22-33-50-23*14-60-61-17-20-52-64-51-35-57-41-36-38-3-0-50-23-69-66-54-5-67-27-25-4-7-40-46*42-49-9-68-11-15-62-24-21-6-35-34-45-36-54-32-39-48-69-38-22-33-13*13-50-23-69-18-37-65-5-54-36-45-58-64-52-55-16-1-11-68-9-59-10-28-56-6-47-53-40-46*,21.94930354018597,1727.0,1784,0.0
8,44-60-61-43-33-58-41-12-25-57-35-51-8-26-1-31-11-15-42-62-21*48-66-19-65-37-5-18-69-0-2-14-44-60-17-10-16-26-30-24-21-6-56-8-55-20-43-50-23-3-29*62-42-15-49-1-59-17-61-14-2-50-13-22-45-41-25-4-53-46-40-12-27-67-37-65-32-39-48-3-0*46-40-47-6-56-28-8-26-1-31-11-9-17-50-23-29-48-39-32-18-5-54-36-41-34-58-33-22-38-69*14-44-17-55-8-56-6-47-7-46-40-4-25-41-36-19-69-23-0-2-50-33-58-35-51-57-34-45-22-13*31-11-59-17-43-13-20-55-10-28-56-6-63-30-15-49-26-8-51-34-45-36-54-18-39-48-29*47-53-4-12-41-36-38-66-3-0-2-50-17-59-1-49-42-62-30-26-16-10-20-33-22-19-18-67*10-28-56-51-41-27-67-65-37-5-54-38-22-33-20-17-59-68-9-11-31-1-26-30-63-6-47-53-7-46*49-11-1-26-62-24-63-6-35-34-45-36-38-66-48-29-69-0-50-17-10-28-56*46-40-7-4-25-34-58-64-52-8-56-6-35-41-27-67-5-37-65-54-19-38-22-13-43-61-60-44*32-39-48-29-69-23-50-43-20-55-16-26-49-15-42-24-63-6-47-7-4-12-25-57-51-64-52-10-59-9*11-68-9-16-26-8-51-41-27-67-37-65-18-54-66-3-29-19-36-22-33-50-23*14-60-61-17-20-52-64-51-35-57-41-36-38-3-0-50-23-69-66-54-5-67-27-25-4-7-40-46*42-49-9-68-11-15-62-24-21-6-35-34-45-36-54-32-39-48-69-38-22-33-13*13-50-23-69-18-37-65-5-54-36-45-58-64-52-55-16-1-11-68-9-59-10-28-56-6-47-53-40-46*,21.949433331429727,1724.0,1794,0.0
